priority,pattern,category,subcategory,note
10,氷結|ビール|ハイボール|八イボール|チューハイ|ワイン|日本酒|焼酎|ウイスキー|ウィスキー|金麦|のどごし|淡麗|本麒麟|スーパードラ|プレモル|こだわり酒場|レモンサワー|クリアアサヒ|アサヒS?ドライ|黒霧島|淡舅|一番搾り|一番しぼり,飲料,酒,酒類。飲み物は食費より先に判定（食べ物の語と重なるため優先度を上げる）。サントリーは酒にも水にも付くので銘柄で先に酒を拾う。⚠️ レシートは語尾が切れる（スーパードライ→スーパードラ）・OCRがハを八と読む（八イボール）ので短い形も入れる（ユーザー指定 2026-09-05）
11,いろはす|エスセレクト|サントリー|ポカリ|イオンウォーター|ウーロン茶|烏龍茶|ウーロンチャ|麦茶|緑茶|コーヒー|牛乳|ギュウニュウ|明治おいしい|メイジオイシイ|オールフリー|ジュース|サイダー|コーラ(?!ック)|天然水|テンネンスイ|炭酸水|伊賀,飲料,ジュース,清涼飲料（ユーザー指定: いろはす・エスセレクト・コーヒー・牛乳・サントリー）。⚠️「コーラ」は下剤の「コーラック」に当たるので (?!ック) で除外（実際に誤訂正した）。内訳を空にするとZaimの「電車」等が残るので必ず指定する
50,ごぼう,食費,食料品,Zaimが通信/インターネット関連費に誤学習（18回連続・2025-08〜2026-08）
50,とうふ|豆腐,食費,食料品,Zaimが遊び/風俗に誤学習（さとの雪濃厚とうふ）
50,野菜ミックス,食費,食料品,Zaimが通信に誤学習
50,とまと|トマト|しょうが|生姜|ショウガ|にんじん|人参|ニンジン|じゃがいも|ジャガイモ|馬鈴薯|かしわ|カシワ|小松菜|こまつな|鮮魚|とうふ|豆腐|トウフ|寿司|すし|鮨|スシ|にら|ニラ|韮|豚|ぶた|ブタ|カレー|かれー|餃子|ぎょうざ|ギョウザ|コロッケ|こめ油|米油|海老|えび|エビ|ハクサイ|はくさい|白菜|はちみつ|蜂蜜|ハチミツ|ゴールデンカレ|カレ辛口|すだち|スダチ,食費,食料品,ユーザー指定（2026-09-05）: これらの語が漢字・平仮名・片仮名のどれで含まれていてもまず食費。優先度50で汎用の100より先に当てる
100,鶏|豚|牛肉|ひき肉|ミンチ|ハム|ソーセージ|ベーコン|ちりめん|鮮魚|刺身|さば|鮭|しらす,食費,食料品,肉・魚の語。医療・保険や交通に紛れた食料品を取り込み時に戻す（2026-09-05）
100,ヨーグル|チーズ|バター|卵|たまご|納豆,食費,食料品,乳製品・卵・大豆（牛乳はユーザー指定で飲料側。ここに入れると優先度で飲料が勝つが辞書として矛盾するので置かない）
100,にんじん|人参|大葉|キャベツ|もやし|ネギ|ねぎ|たまねぎ|玉ねぎ|トマト|なす|きゅうり|じゃがいも|さつまいも|かぼちゃ|ほうれん草|小松菜|レタス|白菜|大根|ピーマン|パプリカ|しめじ|シメジ|えのき|椎茸|しいたけ|シイタケ|まいたけ|舞茸|エリンギ|きくらげ|きのこ|バナナ|りんご|みかん|いちご|ぶどう|梨|桃|柿,食費,食料品,野菜・果物・きのこ（ユーザー要望: 椎茸・そば・鶏などの語が含まれた時点で食料品に）
100,白だし|だしつゆ|めんつゆ|醤油|しょうゆ|味噌|みそ|味ぽん|味ほん|味ぼん|ポン酢|ケチャップ|マヨネーズ|ドレッシング|キッコーマン|ミツカン|久原,食費,食料品,調味料（メーカー名含む）。味ぽんは OCR が 味ほん／味ぼん と読むので3表記（ユーザー指定）
100,ご飯|うどん|そば|パスタ|ラーメン|そうめん|餅|柿の種|せんべい|チョコ|クッキー|ポテトチップ|黒豆|煮豆,食費,食料品,主食・菓子。⚠️「パン」はパンパース等と衝突するため入れない
20,純水仕込氷|仕込氷,飲料,氷,ユーザー指定（2026-09-05）: 氷は飲料。Zaimは日用雑貨/消耗品に付けていた（34件）
50,ミックスナッツ|ナッツ,食費,食料品,ユーザー指定（2026-09-05）: 食品。Zaimは一部を日用雑貨/消耗品に付けていた
5,ピアガーデン,遊び,デート,ユーザー指定（2026-09-05）: この語を含む行は遊び。品目に他の語（喫茶店・タクシー）が混ざっても遊びで確定させるため最優先
12,^(?!.*(味ぽん|味ほん|味ぼん|ぽん|ポン酢|醤油|しょうゆ|だし|つゆ|みりん|酢|油|ソース|ドレッシング)).*[0-9０-９][ 　]*[mMｍＭ][lLｌＬ],飲料,ジュース,ユーザー指定（2026-09-05）: 数字＋ML（ミリリットル）を含むものは統一して飲料。⚠️ 味ぽん500ml のような調味料も ml 表記なので、調味料の語を含むものだけ除外している（OCR が「味ほん」と読むので両表記）。酒類は先の行（10）で酒に振り分け済み
